id;GrammarPoint;GrammarMeaning;Level
557;てならない;"can't help but; dying to; extremely ~";N2
558;てたまらない;"can't help but; dying to; extremely ~";N2
559;て当然だ（てとうぜんだ）;"natural; as a matter of course";N2
560;ては / では;"whenever; if; when~; repetitive action";N2
561;てはいられない;"can’t afford to; unable to ~";N2
562;てはならない;"must not; cannot; should not ~";N2
563;ては～ては;repetitive situations/actions;N2
564;と同時に（とどうじに）;"at the same time as; while; simultaneously ~";N2
565;といった;"like; such as ~";N2
566;というふうに;in such a way that ~;N2
567;ということは;"that is to say; so that means; in other words ~";N2
568;というものだ;"something like; something called ~";N2
569;というものではない;"there is no guarantee that…; not necessarily ~";N2
570;と考えられる（とかんがえられる）;"one can think that; it is conceivable that; considered ~";N2
571;とか（で）;I heard that ~;N2
572;とっくに;"long ago; already; a long time ago";N2
573;ところだった;"was just about to do something; something almost happened";N2
574;ところに;"at the time; just as I was ~";N2
575;ところを見ると（ところをみると）;"judging from; seeing that ~";N2
576;とも;"even if; no matter (who, what, when, where, why, how); though ~";N2
577;として～ない;"not at all; there is not even one";N2
578;としても;"assuming; even if ~";N2
579;つつ;"while; even though; despite ~";N2
580;つつある;"to be doing; to be in the process of doing ~";N2
581;上は（うえは）;"now that; since; as long as ~";N2
582;はもとより;"also; let alone; from the beginning";N2
583;はともかく;"anyhow; anyway; regardless; in any case; whether or not ~";N2
584;わずかに;"slightly; only; barely; narrowly ~";N2
585;やがて;"before long; soon; almost; eventually ~";N2
586;やら～やら;"such things as A and B; A and B and so on ~";N2
587;よほど / よっぽど;"very; greatly; much; to a large extent";N2
588;より [2];from~ (a time, place, or person);N2
589;よりほかない;to have no choice but ~;N2
590;ようでは;if ~ (bad result);N2
591;ようではないか;"let’s do (something); why don’t we ~";N2
592;ようか～まいか;"whether or not; considering options";N2
593;要するに（ようするに）;"in short; in a word; to sum up; to put it simply ~";N2
594;ざるを得ない（ざるをえない）;"cannot help (doing); have no choice but to ~";N2
595;ずに済む （ずにすむ）;get by without doing ~;N2
596;敢えて（あえて）;"dare to; daringly; deliberately; purposely ~";N1
597;あくまでも;"to the end; persistently; absolutely; is still very ~";N1
598;案の定（あんのじょう）;"just as one thought; as usual; sure enough";N1
599;あらかじめ;"beforehand; in advance; previously​";N1
600;あっての;"which can exist solely due to the presence of; which owes everything to";N1
601;ばこそ;only because ~;N1
602;ばそれまでだ / たらそれまでだ;if… then it’s over;N1
603;べからず / べからざる;"must not; should not; do not ~";N1
604;べく;"in order to; for the purpose of ~";N1
605;べくもない;cannot possibly be ~;N1
606;べくして;"as it is bound to (happen); following the natural course";N1
607;びる / びて / びた;"to seem to be; to appear; to behave as ~";N1
608;ぶり / っぷり;"style; manner; way​";N1
609;ぶる / ぶって / ぶった;"assuming the air of; behaving like; to pretend / act like ~";N1
610;だに / だにしない;"even; not even ~";N1
611;だの～だの;"and; and the like; and so forth ~";N1
612;だろうに;"(1) surely..., but ~; although... is likely, ~ (2) should have (regret); might / must have been ~";N1
613;であれ / であろうと;"whoever; whatever; however; even ~";N1
614;であれ～であれ;whether [A] or [B];N1
615;でもあり～でもある;"to also be; both… and ~";N1
616;でも何でもない / くも何ともない（でもなんでもない / くもなんともない）;"not in the least; nothing like that";N1
617;でなくてなんだろう;"must be; is definitely ~";N1
618;ではあるまいか;"isn't it; I wonder if it’s not ~";N1
619;ではあるまいし;"it’s not like; it isn’t as if ~";N1
620;では済まない（ではすまない）;"it doesn’t end with just ~; it will take more than ~";N1
621;どうにも～ない;"not … by any means; no matter how hard one tries, cannot ~";N1
622;が早いか（がはやいか）;"no sooner than; as soon as ~";N1
623;が/も～なら、～も～だ;negative connection/comparison (like father like son);N1
624;がましい;"look like; sound like; approximate; similar to; somewhat like ~";N1
625;がてら;"while; on the same occasion; at the same time; coincidentally ~";N1
626;ごとき / ごとく / ごとし;"like; as if; the same as ~";N1
627;ぐるみ;"together (with); -wide";N1
628;羽目になる（はめになる）;"to get stuck with; to end up with (something unpleasant)";N1
629;ほどのことではない;"it's not worth; no need to ~";N1
630;ほうがましだ;"better than; would rather ~";N1
631;放題（ほうだい）;"doing as one pleases; to one's heart's content; leaving uncontrolled";N1
632;いかんだ / いかんでは / いかんによっては;"in accordance with; depending on; whether or not ~";N1
633;いかんにかかわらず / いかんによらず / いかんをとわず;"regardless of; whether or not; doesn't matter whether ~";N1
634;いかなる;"any kind of; every; whatsoever; whatever";N1
635;いかに;"how; in what way; how much; to what extent";N1
636;いかにも;"indeed; really; truly; just (like); very; extremely ~";N1
637;いずれにしても / いずれにしろ / いずれにせよ;"anyhow; anyway; either way; in any case ~";N1
638;じみた;"to become; to appear like; to look like; tainted with ~";N1
639;か否か（かいなか）;whether or not ~;N1
640;かと思いきや（かとおもいきや）;"contrary to expectations; or so we thought, but ~";N1
641;限りだ（かぎりだ）;to feel strongly;N1
642;甲斐もなく（かいもなく）;"despite; even though ~";N1
643;可能性がある（かのうせいがある）;"may/might; there’s a possibility that ~";N1
644;からある / からする / からの;"at least; as much as; as many as ~";N1
645;かれ～かれ;"sooner or later; more or less";N1
646;かたがた;"while; at the same time; incidentally; for the purpose of ~";N1
647;かたわら;"while; besides; at the same time; in addition";N1
648;かつて;"once; before; formerly; ever; former; ex-";N1
649;嫌いがある（きらいがある）;"bad habit; to have a tendency to ~";N1
650;切りがない（きりがない）;"endless; boundless; going on forever​; there’s no end to ~";N1
651;きっての;the most / greatest … of all;N1
652;極まる / 極まりない（きわまる / きわまりない）;"extremely; very ~";N1
653;こそあれ;"although; even though ~";N1
654;こそすれ;"and; although; but ~";N1
655;こそ「～が・けれど」;"but; although (emphasis)";N1
656;ことごとく;"altogether; entirely; completely ~";N1
657;ことこの上ない / この上ない / この上なく（ことこのうえない / このうえない / このうえなく）;"the most of all; the best; nothing is more ... than ~";N1
658;こともあって;"partly because; also because of; plus the reason for ~";N1
659;ことなしに;without doing something;N1
660;ことのないように;"so as not to; to not ~";N1
661;こととて;"because; since ~";N1
662;くらいなら;rather than (do ...)​;N1
663;くらいのものだ;only (emphasis);N1
664;までだ / までのことだ;"only; just; nothing else";N1
665;までもない / までもなく;"there's no need to; it’s not necessary to ~";N1
666;まじき;"should not; must not ~";N1
667;まくる;"to do over and over again; to do relentlessly";N1
668;まみれ;"covered with; stained; smeared with ~";N1
669;まるっきり;"completely; absolutely; totally; (not) at all​ ~";N1
670;めく;"seems; show signs of; to have the appearance of ~";N1
671;も同然だ（もどうぜんだ）;"just like; same as ~";N1
672;もさることながら;"one may well say so, but~; not only... but also ~";N1
673;もしないで;without even doing ~;N1
674;もはや;"already; now; no longer; not anymore";N1
675;もので;"because; for that reason";N1
676;ものを;"if only; I wish; I'm sorry it's not actually (regret)";N1
677;ものと思われる / ものと見られる（ものとおもわれる / ものとみられる）;"to think; to suppose; it is believed/expected that ~";N1
678;ものとする;"shall; to assume; understood as ~";N1
679;ものとして;"to assume; to suppose; on the presumption that ~";N1
680;もしくは;"or; otherwise";N1
681;んばかりに;"as if; as though ~";N1
682;んがために;in order to ~;N1
683;ながらに / ながらの;"while; during; without change; performed in this condition";N1
684;ないまでも;"not to say; although it does not reach the level of ~";N1
685;ないものでもない;is not entirely impossible;N1
686;ないものか / ないものだろうか;"isn't there; can’t we…?; can’t I…?";N1
687;ないとも限らない（ないともかぎらない）;"not necessarily; I can't say that; maybe; might ~";N1
688;なくしては;cannot do without ~;N1
689;並み（なみ）;"average; ordinary; same level as; equal to; on par with ~";N1
690;なんという / なんと / なんて;"how (beautiful, etc.); what a ~";N1
691;何しろ（なにしろ）;"at any rate; after all; anyhow; anyway; in any case; because; as you know ~";N1
692;ならでは;"distinctive of; uniquely applying to; special to ~";N1
693;ならいざしらず / はいざしらず;"I don't know about ... but; it may be possible for ... but ~";N1
694;なり;"as soon as; right after ~";N1
695;なりに / なりの;"suitable; in one's own way/style";N1
696;なりとも;"at least; even just a little (adverbial particle)";N1
697;なり～なり;"[A] or [B] or something; for instance ~";N1
698;なしに / なしで;"without; without doing ~";N1
699;に;"and; in addition to; the combination of ~";N1
700;に値する（にあたいする）;"to be worth; to be worthy of; to deserve; to merit​ ~";N1
701;にあって;"at; on; during; in the condition of​ ~";N1
702;に引き換え（にひきかえ）;"compared to; in contrast to; unlike; while; whereas ~";N1
703;に至る / に至った（にいたる / にいたった）;"leads to; come to a conclusion";N1
704;に至るまで（にいたるまで）;"as far as; up until; everything from ... to ~";N1
705;に至っても（にいたっても）;"even if; even though; although something reached the point ~";N1
706;に至っては（にいたっては）;"when it comes to; as for ~";N1
707;に言わせれば（にいわせれば）;"if you ask; if one may say ~";N1
708;に限ったことではない（にかぎったことではない）;not limited to only ~;N1
709;にかかっては / にかかったら / にかかると / かかれば;when handled by (N), becomes a completely different result;N1
710;にかかっている;"depending on; to depend on; whether or not";N1
711;にかこつけて;"to use as a pretext; to use as an excuse";N1
712;にかまけて;"to be too busy; to focus / concentrate only on ~";N1
713;に難くない（にかたくない）;"easy to do; it’s not hard to (imagine, understand, guess)";N1
714;にまつわる;"to be related to; to concern; associated with ~";N1
715;に則って（にのっとって）;"based on; according to; in accordance with ~";N1
716;に先駆けて（にさきがけて）;"prior to; to be the first (pioneer); being ahead of ~";N1
717;に忍びない（にしのびない）;"cannot bring oneself (to do); unable to bear ~";N1
718;にしたところで / としたところで;"even if; even supposing that ~";N1
719;にして;at / on / under certain conditions (time, position, age, number of times);N1
720;に即して（にそくして）;"according to; in keeping with; to be based on ~";N1
721;に耐える / に耐えない（にたえる / にたえない）;"worth doing; can do; cannot bear doing ~";N1
722;に足らない / に足りない（にたらない / にたりない）;"cannot; not worthy; not worth doing ~";N1
723;に足る / に足りる（にたる / にたりる）;"can do; worthy; worth doing";N1
724;に照らして（にてらして）;"according to; in view of; in light of ~";N1
725;にとどまらず;"not limited to; not only… but also ~";N1
726;には無理がある（にはむりがある）;"difficult to do; is unreasonable / unrealistic / impossible";N1
727;によらず;regardless of ~;N1
728;に～を重ねて（に～をかさねて）;success after continuous (effort, work, adjustments, etc.);N1
729;にもほどがある;"there is a limit to what is acceptable; to go too far";N1
730;にも増して（にもまして）;"more than…; above ~";N1
731;には当たらない（にはあたらない）;"it’s not worth; there’s no need to; does not correspond to ~";N1
732;には及ばない（にはおよばない）;"there is no need to; unnecessary; no match for ~";N1
733;の至り（のいたり）;"utmost; extremely ~";N1
734;の極み（のきわみ）;"utmost; extremely ~";N1
735;のなんのって;extremely ~ (cannot be expressed in words);N1
736;のやら / ものやら / ことやら;"I wonder...; unsure; I don’t know ~";N1
737;のやら～のやら;or ~ (I don't know);N1
738;を踏まえて（をふまえて）;"to be based on; to take into account ~";N1
739;を経て（をへて）;"through; by way of; after; via ~";N1
740;を控えて（をひかえて）;"to be soon; the time has come to; nearby; ahead of ~";N1
741;をいいことに;to take advantage of ~;N1
742;を顧みず / も顧みず（をかえりみず / もかえりみず）;"despite; without considering; not worrying about; regardless of ~";N1
743;を限りに（をかぎりに）;"starting from; the last time (ending a continued action)";N1
744;を兼ねて（をかねて）;also for the purpose of ~;N1
745;を皮切りに（をかわきりに）;"one after another; starting with ~";N1
746;を機に（をきに）;as an opportunity/chance to ~;N1
747;を禁じ得ない（をきんじえない）;"can’t help but; can’t refrain from ~";N1
748;をものともせずに;"in defiance of; not losing to / afraid / worrying about ~";N1
749;をもって / をもちまして;"by means of; with; on / at / as of (time)​";N1
750;をおいて～ない;"only; can only be; there is no alternative, only ~";N1
751;を押して / を押し切って（をおして / をおしきって）;"to overcome (opposition); to push past ~";N1
752;を境に（をさかいに）;since ~ (indicates a large change before & after);N1
753;を余儀なくされる（をよぎなくされる）;to be forced to do something because one has no other choice;N1
754;をよそに;"despite; without regards to ~";N1
755;を前提として（をぜんていとして）;"with the intention to; on the condition / assumption ~";N1
756;思いをする（おもいをする）;"to think; to feel ~";N1
757;折に（おりに）;"when; at the time; on the occasion ~";N1
758;およそ;"about; roughly; generally; approximately; completely​ ~";N1
759;さ;"ending particle; indicates assertion";N1
760;さも;"really (seem, appear, etc.); truly; as if ~";N1
761;さもないと;"otherwise; or else; if not ~";N1
762;さぞ;"surely; certainly; no doubt; indeed​ ~";N1
763;始末だ（しまつだ）;"end up; in the end; as a result (negative)";N1
764;そばから;"as soon as; right after​ ~";N1
765;そびれる;"to miss a chance; to fail to do ~";N1
766;損なう / 損ねる / 損じる（そこなう / そこねる / そんじる）;"to do something wrong; by mistake; to miss a chance; to fail to ~";N1
767;術がない（すべがない）;"there is no way / means; cannot do ~";N1
768;すら / ですら;even ~ (with emphasis);N1
769;た弾みに / た拍子に（たはずみに / たひょうしに）;the moment [A], unintentionally / inadvertently caused something to happen;N1
770;たことにする / たことになる;"pretend to; see things as untrue; contrary to the truth ~";N1
771;たところで;"even if; no matter (who, what, when, where, why, how)";N1
772;たつもりはない;have no intention to / didn't mean to ~;N1
773;ただ～のみだ;"all we can do is; can do nothing but; only ~";N1
774;ためしがない;"is never the case; has never happened; I have never seen or heard of ~";N1
775;たら最後 / たが最後（たらさいご / たがさいご）;if you do... negative result;N1
776;たら～たで;if / in the case... of course / should ~;N1
777;たら～ところだ;if... (counterfactual condition), then would be ~;N1
778;たりとも;"not even; not any ~";N1
779;たるもの / たる;"(those) who are; (that) which is; in the capacity of ... should ~";N1
780;て敵わない（てかなわない）;"can't bear to; unable to; troublesome to; can’t stand to ~";N1
781;てからというもの;ever since ~;N1
782;てみせる;"I’ll do my best; I'll definitely do; I'll show you ~";N1
783;てしかるべきだ;"should; appropriate; it is natural to do ~";N1
784;て済むことではない（てすむことではない）;"~ is not enough to solve the problem; cannot be resolved by ~";N1
785;てやまない;"always; never stop; can’t help but ~";N1
786;手前（てまえ）;"considering; before; in front of; one’s standpoint";N1
787;てもどうにもならない;"it's no use; can't do anything";N1
788;ても差し支えない（てもさしつかえない）;"can ~; it’s okay if ~ (indicates permission or compromise)";N1
789;ても知らない（てもしらない）;if (you) continue... you'll end up / I don't care about it;N1
790;と相まって（とあいまって）;"together with..., more; because of the influence of..., more ~";N1
791;とあれば;"if it is the case that; if ~";N1
792;とあって;"due to the fact that; because of ~";N1
793;とばかりに;"as if to say; as though~";N1
794;といえども;"even if; even though; despite ~";N1
795;と言えなくもない（といえなくもない）;"one can even say that; it can also be said that ~";N1
796;といい～といい;"both ... and; not only ... also; whether it be ... or ~";N1
797;といったらない;"extremely; very; nothing more ... than this; as ... as it could possibly be";N1
798;という;"all; every single ~ (no exceptions)";N1
799;というか～というか;"or rather; or perhaps I should say; I mean ~";N1
800;というもの;"during; for; since; over a period of time";N1
801;というところだ / といったところだ;"at the most; no more than​; at best; roughly; about ~";N1
802;というわけだ;"that's why; no wonder; this means; it is the case that ~";N1
803;というわけではない;"it’s not that; it doesn’t mean that ~";N1
804;といわず～といわず;"both; not only A or B, but (overall) ~";N1
805;ときている;because of ~;N1
806;とみると;as soon as one realizes ..., then ~;N1
807;と見るや（とみるや）;"at the sight of; upon seeing; after confirming ~";N1
808;となると / となれば;"when it comes to; in such a case; if that happens";N1
809;とされる;"is considered to; it is said that ~";N1
810;ときたら;"when it comes to; concerning ~";N1
811;ところを;"although (it is a certain time/condition); even though normally";N1
812;ともあろうものが;of all people (expression showing surprise at a high standing person's misbehavior);N1
813;ともなく / ともなしに;"somehow; without knowing; without thinking; unconsciously​ ~";N1
814;ともすれば;"apt to (do); tend to; liable to; prone to ~";N1
815;とも～とも;"unable to draw a conclusion; unable to judge";N1
816;とりわけ;"especially; above all ~";N1
817;としたことが;of all people, who would have thought?;N1
818;とっさに;"at once; right away; promptly";N1
819;とて;"even; even if/though ~";N1
820;とは;"I didn't know; I was surprised that; the fact that ~";N1
821;とはいえ;"though; although; be that as it may; nonetheless";N1
822;とは比べものにならない（とはくらべものにならない）;can't compare with ~;N1
823;とは打って変わって / とは打って変わり（とはうってかわって / とはうってかわり）;"unlike; totally different; very different from ~";N1
824;つ～つ;and ~ (indicates two contrasting actions);N1
825;尽くす（つくす）;"to use up (completely without anything remaining); to exhaust; to run out of ~";N1
826;ってば / ったら;"speaking of; I told you already; come on (annoyance / dissatisfaction)";N1
827;うちに入らない（うちにはいらない）;"not really; can't be regarded as ~";N1
828;わ;feminine sentence ending particle;N1
829;はどうであれ;"however; whatever​ ~";N1
830;はおろか;"let alone; not to mention; needless to say ~";N1
831;はさておき;setting aside ~;N1
832;はそっちのけで / をそっちのけで;"ignoring (one thing) for (another)​​; instead of ~";N1
833;わ〜わで;and (listing negative things happening at the same time);N1
834;や否や（やいなや）;"as soon as; the moment ~";N1
835;やしない;"should do, but don't; absolutely not; there's no way ~";N1
836;やれ～やれ;pattern to give two representative examples (usually negative);N1
837;ようが / ようと;"even if; no matter how/what ~";N1
838;ようが～ようが / ようと～ようと;"no matter; whether; even if [A] or [B]";N1
839;ようによっては / ようでは;"depending on the way; depending on how; according to how ~";N1
840;ようにも～ない;even if I wanted to… I couldn’t ~;N1
841;ようと～まいと / ようが～まいが;"whether or not; regardless";N1
842;ゆえに;"therefore; consequently​; because of; due to ~";N1
843;ぞ・ぜ;"ending particle; adds force or indicates command";N1
844;ずじまい;ended up not doing ~;N1
845;ずにはおかない / ないではおかない;"will definitely/certainly do something; cannot not ~";N1
846;ずには済まない / ないでは済まない（ずにはすまない / ないではすまない）;"must; will definitely; can’t help but to ~";N1
847;ずとも;"even without doing; even without being​ ~";N1
848;ずくめ;"completely; entirely; nothing but ~";N1
